Gene id;Gene name;Small pval;Small mcmc;Big pval;Big mcmc
203130_s_at;KIF5C;0.00491467912555391;;5.12147193450857E-6;
218488_at;EIF2B3;;;;
207530_s_at;CDKN2B;;500.0;;
200832_s_at;SCD;6.37008750943819E-6;71.42857142857143;4.40912274637298E-11;500.0
202565_s_at;SVIL;;;3.21212161757215E-8;5.05050505050505
213812_s_at;CAMKK2;;;0.00542056311024253;
205143_at;NCAN;;;;
208048_at;TACR1;;500.0;0.00939099840915395;
209137_s_at;USP10;;;;
205384_at;FXYD1;0.00298297613023766;10.416666666666666;1.14786362342214E-9;4.761904761904762
209975_at;CYP2E1;;;7.96209903210671E-6;
201886_at;DCAF11;;;;
202450_s_at;CTSK;;;;
201084_s_at;BCLAF1;;33.333333333333336;1.72630431884869E-5;
218693_at;TSPAN15;;;1.39782533018545E-5;
204046_at;PLCB2;;500.0;;
201199_s_at;PSMD1;;166.66666666666666;;
214089_at;RPS8;;250.0;;
201874_at;MPZL1;0.00629845868893993;29.41176470588235;1.63789417394698E-5;
218476_at;POMT1;;;;
210896_s_at;ASPH;;;0.00981716839128937;
208052_x_at;CEACAM3;;100.0;8.09447854461448E-5;
209971_x_at;AIMP2;;;;
205039_s_at;IKZF1;;500.0;;
211831_s_at;THPO;;;;
205372_at;PLAG1;0.0100346437638405;250.0;8.53596931338234E-7;
222346_at;LAMA1;;250.0;;
204424_s_at;LMO3;0.00252921719196117;18.51851851851852;3.35949401056841E-9;3.067484662576687
221030_s_at;ARHGAP24;;;0.00296972444169936;
201645_at;TNC;;500.0;;
203851_at;IGFBP6;;83.33333333333333;8.1995257685444E-6;
203557_s_at;PCBD1;0.00303894219655835;83.33333333333333;1.65801896745565E-8;
201393_s_at;IGF2R;0.00209815939419321;50.0;1.23280496938472E-12;9.433962264150944
210095_s_at;IGFBP3;;;;166.66666666666666
212339_at;EPB41L1;7.30462280897516E-4;5.434782608695652;5.37163383254595E-5;500.0
47608_at;TJAP1;0.00750635007100058;;2.38874377463994E-4;
219765_at;ZNF329;;;;
219327_s_at;GPRC5C;;;;
201621_at;NBL1;;;;
215438_x_at;GSPT1;;166.66666666666666;0.00385748260872261;
219512_at;DSN1;;;;
208766_s_at;HNRNPR;;166.66666666666666;;
212990_at;SYNJ1;;125.0;;
207107_at;RPE65;;;;
220501_at;ACTL7A;;;;
202958_at;PTPN9;0.00216752484637729;;1.02971215199344E-9;
213571_s_at;EIF4E2;;250.0;0.00546615491297927;
211598_x_at;VIPR2;;;;
212989_at;SGMS1;0.00820956474132513;29.41176470588235;2.51799644533461E-5;
210027_s_at;APEX1;;100.0;5.64060739513849E-4;
