id,CD81,KRT8,NME3,DYNC1I1,RNPS1,CHD3,PODXL,PICALM,SLC1A3,FCF1,PSMC4,RPE,COL1A2,LIN7C,DEFA6,LIMA1,POLA1,KRTAP9-9,ETS2,VAV3,verdict
47,11024.4,265.8,658.9,415.3,4208.5,718.5,418.3,856.5,241.8,76.5,974.2,184.3,18757.1,516.3,34.1,1160.6,406.4,13.9,70.2,318.1,2
48,10351.1,288.0,684.5,227.7,4407.9,1084.9,144.2,1206.2,166.2,152.8,515.5,278.0,2811.2,836.0,32.9,1309.5,395.9,13.9,242.7,355.6,2
49,9205.8,106.3,746.0,544.2,2925.9,1221.0,319.9,1202.1,1052.2,69.0,818.0,255.8,13676.6,345.2,32.8,1494.8,405.2,13.2,197.8,303.9,2
50,13837.6,414.6,659.3,169.0,2795.4,1774.1,572.0,1743.6,654.6,100.2,828.3,258.9,24098.4,245.6,11.4,1823.9,322.9,4.7,443.8,441.6,2
51,12552.9,124.7,866.6,141.7,4167.4,1012.7,311.7,1434.0,237.2,62.9,625.3,518.4,12465.4,497.9,30.0,1862.0,365.5,11.1,209.6,307.5,2
52,10889.3,725.0,588.0,399.6,2502.4,1057.5,735.8,1211.0,193.0,37.9,1086.4,272.8,30166.8,253.4,24.7,2026.0,272.4,2.2,687.9,467.9,2
53,10963.7,512.7,795.1,263.8,2379.3,1370.1,648.0,1916.2,387.7,77.3,543.4,183.2,21904.0,250.0,36.4,2018.4,368.7,23.3,604.4,1049.8,2
54,13371.1,309.7,811.4,260.6,4007.2,802.3,397.9,1028.4,215.6,65.0,1202.3,233.4,16856.2,320.2,16.5,1139.9,565.3,11.6,164.1,211.8,2
55,11697.5,295.6,878.6,235.7,4077.5,1055.6,386.8,1261.2,167.6,30.0,639.0,197.1,11937.3,501.8,16.7,1103.0,541.4,70.3,302.5,344.8,2
56,13798.2,248.7,644.9,197.2,4219.4,1144.9,309.9,963.3,304.0,17.9,1197.0,185.1,15864.3,303.5,50.1,1250.6,608.0,57.0,204.5,322.1,2
57,12007.4,217.8,872.7,268.5,4148.8,1323.1,322.7,987.9,455.0,73.3,1184.2,130.8,11102.9,280.1,59.2,1105.8,513.3,4.3,420.2,367.7,2
58,9244.1,230.9,791.9,308.4,4326.2,835.6,308.8,1330.1,227.8,129.3,1238.8,243.0,13028.6,389.2,28.6,1296.6,753.4,28.7,215.6,283.9,2
59,9887.1,524.5,1114.1,353.2,4245.9,1095.6,277.5,1098.2,267.5,84.9,773.6,51.6,10386.4,258.7,64.1,825.3,643.3,8.3,91.3,333.4,2
60,8901.6,246.2,892.9,349.3,3886.6,1043.0,383.4,1278.0,99.5,59.8,896.8,281.4,11079.4,210.6,59.1,1145.0,789.8,4.4,119.5,234.9,2
61,11836.7,292.8,761.7,286.3,4598.2,1356.1,372.6,1313.5,301.2,73.1,1041.8,202.6,14850.7,289.2,50.2,1189.0,645.7,5.8,130.7,199.4,2
62,10378.1,355.6,641.2,167.8,3511.8,1073.4,445.4,1237.3,142.9,41.6,1090.0,212.8,14004.1,226.5,27.7,2368.0,644.1,7.7,567.6,459.2,2
63,13447.1,250.5,986.4,206.1,4045.9,1025.5,311.2,1010.8,209.6,25.7,900.8,263.1,10663.5,299.9,37.0,1452.4,536.0,9.4,215.8,289.5,2
