id;gene;pval;adjPVal
221334_s_at;FOXP3;0.023660146619029;0.0540469857539012
207327_at;EYA4;0.501548303654859;0.624786457980575
214722_at;NOTCH2NL;0.000140465561625122;0.000596704196886605
202214_s_at;CUL4B;0.00209234792834873;0.00662576843977098
205373_at;CTNNA2;1.25727736563464e-07;1.16433197223439e-06
222236_s_at;ASAP3;6.39034485699232e-11;1.88870192439995e-09
208949_s_at;LGALS3;4.48531610339428e-10;9.34590365410589e-09
206158_s_at;CNBP;4.05249659481527e-13;2.86239053267687e-11
206239_s_at;SPINK1;0.282258196413109;0.406496022526977
221006_s_at;SNX27;0.001207167483572;0.00408219068670317
200743_s_at;TPP1;0.374987944834424;0.503988312870347
204079_at;TPST2;0.806321846461772;0.869545046533691
219249_s_at;FKBP10;1.12518759132051e-06;8.15483783576178e-06
202761_s_at;SYNE2;0.0343159566991965;0.0738159137393935
200747_s_at;NUMA1;0.19703813592596;0.306465635151325
200050_at;ZNF146;0.172183517549426;0.274396218789411
202858_at;U2AF1;0.109405970695094;0.191460448716414
205499_at;SRPX2;0.208456440815626;0.320201796667521
208501_at;GFI1B;3.44140476678366e-05;0.000169855674671651
212922_s_at;SMYD2;6.97161939682816e-05;0.000319615642461114
219141_s_at;AMBRA1;0.619725033633823;0.72538174051962
208987_s_at;KDM2A;0.87544124544855;0.917184819458457
221369_at;MTNR1A;0.181928944133131;0.287277433303073
203072_at;MYO1E;0.376821317221657;0.505799882746956
208516_at;MTNR1B;0.117235940222021;0.202423387611579
211126_s_at;CSRP2;0.234407983128221;0.351302877615563
219317_at;POLI;0.0918054907019584;0.166654892515738
207783_x_at;HUWE1;0.000228252553879389;0.000924099424031644
206591_at;RAG1;0.0374767359738704;0.0793184616802653
90610_at;LRCH4;0.0254469977227768;0.0574360652699324
218332_at;BEX1;0.0461352575819329;0.0941840284600465
220124_at;GAN;1.11777460794152e-08;1.43180513816443e-07
212948_at;CAMTA2;0.974982260146875;0.983160849843219
214081_at;PLXDC1;0.00450021749343534;0.0129159134763381
213315_x_at;CXorf40A;0.245247303014912;0.364056255318503
204715_at;PANX1;2.30681416374811e-06;1.54305996121878e-05
208693_s_at;GARS;1.98853243990831e-06;1.35924726975034e-05
217778_at;SLC39A1;0.00132803576695823;0.00443814572534398
201413_at;HSD17B4;2.05502301676767e-07;1.79287493060917e-06
220413_at;SLC39A2;4.27014712854679e-10;8.99558737262643e-09
202645_s_at;MEN1;0.20225363427994;0.313069296203896
201797_s_at;VARS;2.24833305422414e-12;1.14262844893944e-10
204102_s_at;EEF2;0.0686116751671222;0.131217042839172
209804_at;DCLRE1A;0.0269209228701785;0.0602192481164738
201306_s_at;ANP32B;0.000223590712979042;0.000906986078411417
